Name,QueryIni
Agape France,https://tntdataserver.eu/dataserver/fra/dataquery/TntQuery.aspx
Agape Leadership Dev - Surinam,https://tntdataserver.eu/dataserver/sur/dataquery/tntquery.aspx
Alfa y Omega - Panama,https://tntdataserver.eu/dataserver/pan/dataquery/tntquery.aspx
Campus Crusade for Christ - Argentina,https://tntdataserver.eu/dataserver/arg/dataquery/tntquery.aspx
Campus Crusade for Christ - Australia,https://tntdataserver.eu/dataserver/aus/dataquery/tntquery.aspx
Campus Crusade for Christ - Bolivia,https://tntdataserver.eu/dataserver/bol/dataquery/tntquery.aspx
Campus Crusade for Christ - Brasil,https://tntdataserver.eu/dataserver/bra/dataquery/tntquery.aspx
Campus Crusade for Christ - Canada,http://tntmpd.crusade.org/tntmpd/Query.ini
Campus Crusade for Christ - Canada (Intl.),http://tntmpd.crusade.org/intl/Query.ini
Campus Crusade for Christ - Chile,https://tntdataserver.eu/dataserver/chl/dataquery/tntquery.aspx
Campus Crusade for Christ - Colombia,https://tntdataserver.eu/dataserver/col/dataquery/tntquery.aspx
Campus Crusade for Christ - Czech Repulic,https://tntdataserver.eu/dataserver/cze/dataquery/tntquery.aspx
Campus Crusade for Christ - Ecuador,https://tntdataserver.eu/dataserver/ecu/dataquery/tntquery.aspx
Campus Crusade for Christ - Guyana,https://tntdataserver.eu/dataserver/guy/dataquery/tntquery.aspx
Campus Crusade for Christ - Hong Kong,https://tntdataserver.eu/dataserver/hkg/dataquery/TntQuery.aspx
Campus Crusade for Christ - Italy,https://tntdataserver.eu/dataserver/ita/dataquery/TntQuery.aspx
Campus Crusade for Christ - Jamaica,https://tntdataserver.eu/dataserver/jam/dataquery/tntquery.aspx
Campus Crusade for Christ - Japan,https://tntdataserver.eu/dataserver/jpn/dataquery/tntquery.aspx
Campus Crusade for Christ - Latvia,https://tntdataserver.eu/dataserver/lva/dataquery/tntquery.aspx
Campus Crusade for Christ - NZ,https://tntdataserver.eu/dataserver/nzl/dataquery/tntquery.aspx
Campus Crusade for Christ - Pacific Islands,https://tntdataserver.eu/dataserver/sop/dataquery/tntquery.aspx
Campus Crusade for Christ - Russia,https://tntdataserver.eu/dataserver/rus/dataquery/tntquery.aspx
Campus Crusade for Christ - Singapore,https://tntdataserver.eu/dataserver/sgp/dataquery/tntquery.aspx
Campus Crusade for Christ - Taiwan,https://tntdataserver.eu/dataserver/twn/dataquery/tntquery.aspx
Campus Crusade for Christ - Thailand,https://tntdataserver.eu/dataserver/tha/dataquery/tntquery.aspx
Campus Crusade for Christ - Trinidad,https://tntdataserver.eu/dataserver/tto/dataquery/tntquery.aspx
Campus Crusade for Christ - USA,http://tnt.ccci.org/ccc/TntMPDQuery.ini
Campus Crusade for Christ - Venezuela,https://tntdataserver.eu/dataserver/ven/dataquery/tntquery.aspx
Campus fuer Christus e.V. - Germany,https://tntdataserver.eu/dataserver/deu/dataquery/tntquery.aspx
Cruzada Estudiantil - Costa Rica,https://tntdataserver.eu/dataserver/cri/dataquery/tntquery.aspx
Cruzada Estudiantil - Dominican Republic,https://tntdataserver.eu/dataserver/dom/dataquery/tntquery.aspx
Cruzada Estudiantil - El Salvador,https://tntdataserver.eu/dataserver/slv/dataquery/tntquery.aspx
Cruzada Estudiantil - Guatemala,https://tntdataserver.eu/dataserver/gtm/dataquery/tntquery.aspx
Cruzada Estudiantil - Honduras,https://tntdataserver.eu/dataserver/hnd/dataquery/tntquery.aspx
Cruzada Estudiantil - Mexico,https://tntdataserver.eu/dataserver/mex/dataquery/tntquery.aspx
DiscipleMakers,https://staff.dm.org/tntmpd_connector/query.ini
e3 Partners Ministry,http://www.e3portal.org/cms/query.ini
Every Nation Ministries - Philippines,https://app.everynation.org.ph/tntmpd/enli.aspx
Every Nation Ministries - USA,https://admin.everynation.org/tntmpd/tntquery/ENM-USA
FOCUS,https://tnt.focusonline.org/dataserver/focus/dataquery/TntQuery.aspx
Food for the Hungry,https://fh1.tntmpd.dwvpn.net:9502/tntmpd/?action=query.ini
Global Hope Network International,https://www.ghni.org:500/dataserver/orlando-dataserver/dataquery/TntQuery.aspx
Global Impact Resources,http://globalimpactresources.net/dataserver/gir/dataquery/tntquery.aspx
Gospel for Asia,https://gfa1.tntmpd.dwvpn.net:9501/tntmpd/?action=query.ini
Kingdom Building Ministries,http://www.kbm.org/query.ini
Life Action Ministries,https://tntmpd.lifeaction.net/dataserver/TntMPD_DataServer/dataquery/TntQuery.aspx
The Navigators,https://navcentral.navigators.org/donor/NavQuery.ini
ToonTown Ministries,https://dataserver.tntware.com/dataserver/toontown/dataquery/tntquery.aspx
"Trinity Church - Dallas, TX",https://tntmpd.frontlinepassport.com/dataserver/TrinityDonations/dataquery/TntQuery.aspx
UFC,https://dataserver.tntware.com/dataserver/ukr/dataquery/TntQuery.aspx
Word Made Flesh,http://www.wordmadeflesh.com/tntmpd/TntConfig/Query.ini
